Unnamed: 0,user,smogList,fleschRList,ariList,complexList,colemanList,charList,fleschKList,sentencesList,gunningList,wordsList,smogIList,syllablesList
91844,derrick-j,14.555,-14.595,46.784,4.0,8.853,406.0,39.393,1.0,40.4,97.0,13.954,141.0
91845,derrick-j,11.698,56.909,6.968,18.0,9.427,490.0,8.613,8.0,11.6,106.0,11.216,171.0
91846,derrick-j,5.145,31.577,4.4495,22.0,4.2435,1215.0,4.736,14.0,5.4,283.0,4.933,412.0
91847,derrick-j,10.952,62.723,7.687,15.0,8.122,622.0,9.076,8.0,11.2,147.0,10.5,218.0
91848,derrick-j,11.766,55.262,11.971,16.0,11.303,730.0,10.981,7.0,12.4,153.0,11.281,234.0
91849,derrick-j,12.745,51.74,13.238,17.0,10.922,706.0,12.253,6.0,14.4,150.0,12.22,230.0
91850,derrick-j,10.914,66.862,5.243,13.0,6.712,412.0,7.447,7.0,10.8,99.0,10.464,147.0
91851,derrick-j,10.686,64.855,7.243,28.0,9.247,1110.0,8.111,16.0,10.4,251.0,10.246,374.0
91852,derrick-j,10.126,67.972,6.259,27.0,8.107,1104.0,7.243,18.0,9.2,251.0,9.708,370.0
91853,derrick-j,11.855,51.161,5.816,7.0,9.228,138.0,8.525,3.0,13.2,29.0,11.367,50.0
91854,derrick-j,11.855,50.588,8.953,7.0,11.65,205.0,9.599,3.0,12.0,41.0,11.367,69.0
91855,derrick-j,9.607,71.846,4.533,9.0,7.432,347.0,6.113,7.0,8.8,81.0,9.211,118.0
91856,derrick-j,13.428,49.991,9.862,52.0,11.859,1304.0,10.448,16.0,14.0,268.0,12.874,443.0
91857,derrick-j,22.076,-9.119,40.777,33.0,12.388,1139.0,34.24,3.0,36.8,238.0,21.166,381.0
91858,derrick-j,10.504,72.109,5.699,15.0,7.232,544.0,6.735,9.0,10.0,128.0,10.071,182.0
91859,derrick-j,9.995,63.039,6.989,13.0,8.985,573.0,7.945,9.0,9.6,126.0,9.583,193.0
91860,derrick-j,9.995,63.039,6.989,13.0,8.985,573.0,7.945,9.0,9.6,126.0,9.583,193.0
91861,derrick-j,8.239,77.911,1.64,4.0,4.799,113.0,3.684,5.0,8.0,26.0,7.899,38.0
91862,derrick-j,12.458,53.103,9.463,40.0,9.828,1302.0,10.622,15.0,12.8,288.0,11.944,457.0
91863,derrick-j,12.603,34.128,20.102,11.0,10.814,732.0,18.561,4.0,18.4,162.0,12.083,252.0
91864,derrick-j,11.855,57.612,9.294,14.0,9.428,521.0,10.068,6.0,12.0,117.0,11.367,179.0
91865,derrick-j,15.719,42.031,13.566,68.0,10.215,1720.0,14.051,14.0,17.6,375.0,15.071,610.0
91866,derrick-j,5.684,87.479,3.603,1.0,4.75,268.0,4.536,5.0,6.0,70.0,5.449,87.0
91867,derrick-j,7.554,77.452,3.18,3.0,6.723,182.0,4.543,5.0,6.0,42.0,7.243,60.0
91868,derrick-j,9.957,71.568,7.371,10.0,9.033,500.0,7.323,7.0,9.6,114.0,9.547,160.0
