user,smogList,fleschRList,ariList,complexList,colemanList,charList,fleschKList,sentencesList,gunningList,wordsList,smogIList,syllablesList
derrick-j,14.555,-14.595,46.784,4,8.853,406,39.393,1,40.4,97,13.954,141
derrick-j,11.698,56.909,6.968,18,9.427,490,8.613,8,11.6,106,11.216,171
derrick-j,5.145,31.577,4.4495,22,4.2435,1215,4.736,14,5.4,283,4.933,412
derrick-j,10.952,62.723,7.687,15,8.122,622,9.076,8,11.2,147,10.5,218
derrick-j,11.766,55.262,11.971,16,11.303,730,10.981,7,12.4,153,11.281,234
derrick-j,12.745,51.74,13.238,17,10.922,706,12.253,6,14.4,150,12.22,230
derrick-j,10.914,66.862,5.243,13,6.712,412,7.447,7,10.8,99,10.464,147
derrick-j,10.686,64.855,7.243,28,9.247,1110,8.111,16,10.4,251,10.246,374
derrick-j,10.126,67.972,6.259,27,8.107,1104,7.243,18,9.2,251,9.708,370
derrick-j,11.855,51.161,5.816,7,9.228,138,8.525,3,13.2,29,11.367,50
derrick-j,11.855,50.588,8.953,7,11.65,205,9.599,3,12,41,11.367,69
derrick-j,9.607,71.846,4.533,9,7.432,347,6.113,7,8.8,81,9.211,118
derrick-j,13.428,49.991,9.862,52,11.859,1304,10.448,16,14,268,12.874,443
derrick-j,22.076,-9.119,40.777,33,12.388,1139,34.24,3,36.8,238,21.166,381
derrick-j,10.504,72.109,5.699,15,7.232,544,6.735,9,10,128,10.071,182
derrick-j,9.995,63.039,6.989,13,8.985,573,7.945,9,9.6,126,9.583,193
derrick-j,9.995,63.039,6.989,13,8.985,573,7.945,9,9.6,126,9.583,193
derrick-j,8.239,77.911,1.64,4,4.799,113,3.684,5,8,26,7.899,38
derrick-j,12.458,53.103,9.463,40,9.828,1302,10.622,15,12.8,288,11.944,457
derrick-j,12.603,34.128,20.102,11,10.814,732,18.561,4,18.4,162,12.083,252
derrick-j,11.855,57.612,9.294,14,9.428,521,10.068,6,12,117,11.367,179
derrick-j,15.719,42.031,13.566,68,10.215,1720,14.051,14,17.6,375,15.071,610
derrick-j,5.684,87.479,3.603,1,4.75,268,4.536,5,6,70,5.449,87
derrick-j,7.554,77.452,3.18,3,6.723,182,4.543,5,6,42,7.243,60
derrick-j,9.957,71.568,7.371,10,9.033,500,7.323,7,9.6,114,9.547,160
derrick-j,13.663,40.174,16.328,17,12.41,728,15.208,5,16.4,152,13.1,244
derrick-j,12.458,46.495,14.486,16,11.857,759,13.233,6,14.4,156,11.944,247
derrick-j,13.053125,33.687125,11.359625,304,10.443125,7934,11.874,73,14.3,1633,12.515,2790
derrick-j,12.385,49.35,9.42,42,11.752,1159,9.963,16,12.8,231,11.874,390
derrick-j,11.208,64.203,5.996,8,7.805,259,8.155,4,10.8,62,10.746,93
derrick-j,15.382,38.052,12.776,23,12.595,534,13.268,5,16.8,107,14.747,186
derrick-j,14.265,32.807,13.271,38,14.027,1052,13.677,10,15.2,201,13.677,365
derrick-j,6.608,26.8345,5.545,53,4.7435,1745,5.7435,17,7.2,391,6.3355,600
derrick-j,12.341,48.385,10.501,13,11.626,444,11.082,5,12.8,92,11.832,152
derrick-j,7.169,86.45,-1.767,1,-0.713,30,2.195,2,6.4,8,6.873,11
derrick-j,6.742,93.777,0.356,2,2.942,139,1.968,5,4.8,36,6.464,45
derrick-j,13.384,48.876,12.537,29,11.156,992,12.211,9,14.4,209,12.832,332
derrick-j,8.842,80.333,3.986,2,5.542,107,5.408,2,8,27,8.477,36
derrick-j,14.24975,23.917,12.8635,337,12.365125,7605,13.220375,65,15.85,1454,13.662125,2677
